atom-q    BLYP      BP        HCTH120   HCTH407   PADE      PBE       PBESOL    OLYP      
Ba-q2     AVAIL     x         x         x         AVAIL     x         x         x         
Ba-q10    AVAIL     x         x         x         AVAIL     AVAIL     x         x         
La-q11    x         x         x         x         AVAIL     AVAIL     x         x         
Ce-q12    AVAIL     x         x         x         AVAIL     AVAIL     x         x         
Ce-q30    x         x         x         x         x         AVAIL     x         x         
Pr-q13    x         x         x         x         AVAIL     AVAIL     x         x         
Nd-q14    x         x         x         x         AVAIL     AVAIL     x         x         
Pm-q15    x         x         x         x         AVAIL     AVAIL     x         x         
Sm-q16    x         x         x         x         AVAIL     AVAIL     x         x         
Eu-q17    x         x         x         x         AVAIL     AVAIL     x         x         
Gd-q18    AVAIL     x         x         x         AVAIL     AVAIL     x         x         
Tb-q19    x         x         x         x         AVAIL     AVAIL     x         x         
Dy-q20    x         x         x         x         AVAIL     AVAIL     x         x         
Ho-q21    x         x         x         x         AVAIL     AVAIL     x         x         
Er-q22    x         x         x         x         AVAIL     AVAIL     x         x         
Tm-q23    x         x         x         x         AVAIL     AVAIL     x         x         
Yb-q24    x         x         x         x         AVAIL     AVAIL     x         x         
Lu-q25    x         x         x         x         AVAIL     AVAIL     x         x         
Hf-q12    x         x         x         x         AVAIL     AVAIL     x         x         
Ta-q5     x         x         x         x         AVAIL     AVAIL     x         x         
Ta-q13    x         x         x         x         AVAIL     AVAIL     x         x         
W-q6      x         x         x         x         AVAIL     AVAIL     x         x         
W-q14     AVAIL     x         x         x         AVAIL     AVAIL     x         x         
Re-q7     x         x         x         x         AVAIL     AVAIL     x         x         
Re-q15    x         x         x         x         AVAIL     AVAIL     x         x         
Os-q8     x         x         x         x         AVAIL     AVAIL     x         x         
Os-q16    x         x         x         x         AVAIL     AVAIL     x         x         
Ir-q9     x         x         x         x         AVAIL     AVAIL     x         x         
Ir-q17    x         x         x         x         AVAIL     AVAIL     x         x         
Pt-q10    x         x         x         x         AVAIL     AVAIL     x         x         
Pt-q18    x         x         x         x         AVAIL     AVAIL     x         x         
Au-q1     x         x         x         x         AVAIL     x         x         x         
Au-q11    AVAIL     AVAIL     x         x         AVAIL     AVAIL     x         x         
Au-q19    AVAIL     x         x         x         AVAIL     AVAIL     x         x         
Hg-q2     x         x         x         x         AVAIL     x         x         x         
Hg-q12    x         x         x         x         AVAIL     AVAIL     x         x         
Tl-q3     x         x         x         x         AVAIL     AVAIL     x         x         
Tl-q13    x         x         x         x         AVAIL     AVAIL     x         x         
Pb-q4     x         x         x         x         AVAIL     AVAIL     x         x         
Pb-q14    x         x         x         x         x         AVAIL     x         x         
Bi-q5     AVAIL     x         x         x         AVAIL     AVAIL     x         x         
Bi-q15    AVAIL     x         x         x         x         AVAIL     x         x         
Po-q6     x         x         x         x         AVAIL     AVAIL     x         x         
At-q7     x         x         x         x         AVAIL     AVAIL     x         x         
Rn-q8     x         x         x         x         AVAIL     AVAIL     x         x         
Fr-NONE   x         x         x         x         x         x         x         x         
Ra-NONE   x         x         x         x         x         x         x         x         
